,OBJECTID,BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Easting,Northing
0,3297041,10037380,GW058949.1.1,691.43,UNK,8.8,11.0,682.63,680.43,SHLE,,Shale broken,UNK,1,720769.1602469078,6095596.554482553
1,3297109,10037380,GW058949.1.1,691.43,UNK,0.0,0.9,691.43,690.53,TPSL,,Topsoil,UNK,1,720769.1602469078,6095596.554482553
2,3297126,10037380,GW058949.1.1,691.43,UNK,0.9,3.3,690.53,688.13,CLAY,,Clay,UNK,1,720769.1602469078,6095596.554482553
3,3297127,10037380,GW058949.1.1,691.43,UNK,5.2,7.3,686.23,684.13,SAND,,Sand clay,UNK,1,720769.1602469078,6095596.554482553
4,3297180,10037380,GW058949.1.1,691.43,UNK,7.3,8.8,684.13,682.63,CLAY,,Clay,UNK,1,720769.1602469078,6095596.554482553
5,3302117,10037380,GW058949.1.1,691.43,UNK,11.0,38.7,680.43,652.73,CLAY,,Clay bands shale,UNK,1,720769.1602469078,6095596.554482553
6,3302166,10037380,GW058949.1.1,691.43,UNK,38.7,56.0,652.73,635.43,SAND,,Sand white coarse water supply,UNK,1,720769.1602469078,6095596.554482553
7,3302167,10037380,GW058949.1.1,691.43,UNK,56.0,57.0,635.43,634.43,CLAY,,Clay or shale,UNK,1,720769.1602469078,6095596.554482553
8,3302256,10037380,GW058949.1.1,691.43,UNK,3.3,5.2,688.13,686.23,SHLE,,Shale,UNK,1,720769.1602469078,6095596.554482553
9,3312162,10036474,GW044804.1.1,693.45,UNK,0.0,0.3,693.45,693.15,SOIL,,Soil,UNK,1,720507.3780936297,6095232.949172977
10,3312163,10036474,GW044804.1.1,693.45,UNK,11.58,15.85,681.87,677.6,CLAY,,Clay gravel plastic,UNK,1,720507.3780936297,6095232.949172977
11,3312164,10036474,GW044804.1.1,693.45,UNK,28.65,29.87,664.8,663.58,CLAY,,Clay white,UNK,1,720507.3780936297,6095232.949172977
12,3312165,10036474,GW044804.1.1,693.45,UNK,29.87,30.18,663.58,663.27,GRVL,,Gravel,UNK,1,720507.3780936297,6095232.949172977
